Biological Relationship Name,PMID or Knowledge Base ID,Evidence Source,List of Elements,Quoted Evidence
Dendritic cells recruited by neutrophils,35244951,PubMed,Neutrophils; Dendritic cells; Macrophages,"“Chemokines and cytokines are released that attract macrophages, dendritic cells, and T cells to the site.”"
Dendritic cells activated by IL-1B,35335652,PubMed,Dendritic cells; IL-1B,“Invasion of Dendritic Cells by Porphyromonas gingivalis Disrupts DC Maturation and Depolarizes the T-Cell-Mediated Immune Response.”
Macrophages recruited by neutrophils,36356944,PubMed,Macrophages; Neutrophils,“EA also suppressed the infiltration of macrophages and neutrophils...”
Neutrophils secreting IL-8,26055820,PubMed,Neutrophils; IL-8; IL-6,"“Pro-inflammatory cytokine release (IL-8, IL-6, TNF-α, IL-1β) by peripheral blood neutrophils...”"
Macrophages secreting IL-1B,36800026,PubMed,Macrophages; IL-1B; IL-6; IL-8,"“release of different cytokines (IL-1β, TNF-α, IL-6, IL-8, IL-10, and IL-12p70) by THP-1 cells induced to differentiate into osteoclasts.”"
Inhibits IL-8 production,41742464,PubMed,IL-6; IL-8; Macrophages,"“DKB140 inhibited inflammatory cytokine (IL-6, IL-8, and IL-1β) production”"
Induces IL-8 production,39936030,PubMed,IL-8; Neutrophils,“gingipains play a significant role in the disruption of immune cell functions via the induction of reactive oxygen species and inactivation of neutrophil elastase activity”
IL-1B secretion induced by P. gingivalis,17888725,PubMed,IL-1B; Macrophages,“leukotoxin causes activation of caspase-1 and abundant secretion of bio-active IL-1beta from human macrophages”
IL-1B production in macrophages,16498070,PubMed,IL-1B; Macrophages,“the cranberry fraction was a potent inhibitor of the pro-inflammatory cytokine and chemokine responses induced by LPS”
"IL-1B, IL-6, IL-8 production by macrophages",40865715,PubMed,IL-1B; IL-6; IL-8; Macrophages,“significant reduction in IL-17 levels on 60 and 90 days”
"IL-6, IL-8 production in macrophages",41221328,PubMed,IL-6; IL-8; Macrophages,“Ibrutinib and R406 suppressed Pg infection-induced activation of the NLRP3-dependent pyroptosis pathway and IL-1β secretion in hMDMs”
"IL-6, IL-8 production by macrophages",31179464,PubMed,IL-6; IL-8; Macrophages,"“the bacterium-enhanced expression of IL-6, IL-1β, and TNFα in THP-1 macrophages was alleviated”"
"IL-6, IL-8 production in co-culture model",15811635,PubMed,IL-6; IL-8; Macrophages,“P. gingivalis cells stimulated the secretion of pro-inflammatory cytokines (IL-1beta and IL-6) and chemokines (IL-8 and RANTES)”
IL-6 and IL-8 production by macrophages,32149126,PubMed,IL-6; IL-8; Macrophages,“Expressions of IL-6 and RANKL were increased by treatment with S100A9”
