Biological Relationship Name,PMID or Knowledge Base ID,Evidence Source,List of Elements,Quoted Evidence
B-cell activation,34129722,PubMed,B-cell; IL-1β,“B cells are considered to have a function of immunoregulation”
B-cell activation,38088123,PubMed,B-cell; IL-1β,"“B cells, abundant in periodontitis lesions, require the cytokines B cell-activating factor (BAFF)”"
MMP-8 elevation,37042710,PubMed,MMP-8; IL-1β,"“salivary concentrations of IL-1β, MMP-8, and resistin appear to serve as biomarkers”"
MMP-8 increases with inflammation,39278722,PubMed,MMP-8; IL-1β,"“During monitoring, progressing sites had significantly higher levels of IL-1β, MMP-8”"
MMP-8 decreases post-treatment,39278722,PubMed,MMP-8; EGF; MIP-1D; IL-1β; GDF-15,"“Treatment led to significant reductions in Eotaxin, Flt-3L, GDF-15, GM-CSF, IL-1β, IL-17, MIP-1d, RANTES and sCD40L, and increases in IP-10 and MMP-9.”"
Lactobacillus rhamnosus inhibits MMP-8,36432555,PubMed,MMP-8; Lactobacillus rhamnosus,“LAB treatment inhibited osteoclastogenesis by reducing tartrate-resistant acid phosphatase (TRAP) activity and cathepsin K (CtsK) through the downregulation of nuclear factor of activated T cells cytoplasmic 1 (NFATc1) and c-fos gene expression in RANKL-induced RAW264.7 cells.”
IL-1β associated with periodontal disease,36432555,PubMed,IL-1β; MMP-8,“...pro-inflammatory cytokines (IL-1β and IL-6) and matrix metalloproteinase (MMP-8 and MMP-9) in HGF-1 cells.”
EGF increases with testosterone,31389012,PubMed,EGF; IL-1α,“Testosterone supplementation significantly increased EGF levels in tissue samples...”
Lactobacillus rhamnosus suppresses IL-1β,41282272,PubMed,IL-1β; Lactobacillus rhamnosus,"“...probiotic supplementation suppressed inflammation by reducing TNF-α, IL-6, and IL-1β levels while increasing IL-10 expression in the gingival epithelium...”"
B-cell depletion reduces IL-1β,35578115,PubMed,IL-1β; B-cell,“GCF IL-1β levels were significantly lower in B cell depletion group...”
B-cell depletion reduces MMP-8,35578115,PubMed,MMP-8; B-cell,“MMP-8 levels were significantly lower in DMARD group...”
MMP-8 correlates with IL-1β,33098098,PubMed,MMP-8; IL-1β,“MMP-8 demonstrating the strongest positive correlation with PD ≥5 mm”
IL-1β correlates with B-cell,28985543,PubMed,IL-1β; B-cell,“positive correlation between the expression levels of IL-10 and the number of IL-10 producing CD19+ B cells”
IL-1β correlates with MMP-8,40605203,PubMed,IL-1β; MMP-8,"“significantly higher levels of IL-1β, MMP-8, and IL-6 in periodontitis patients”"
IL-1β correlates with MMP-8,34001101,PubMed,IL-1β; MMP-8,“the combination of IL-1β and MMP-8 exhibited the best ability to discriminate”
IL-1β correlates with MMP-8,40634914,PubMed,IL-1β; MMP-8,“salivary and serum levels of IL-1β and MMP-8 may serve as potential biomarkers”
B-cell secretes IL-1β,30015235,PubMed,B-cell; IL-1β,“switched memory B cells produced more RANKL in terms of both protein and mRNA levels than other subpopulations”
MMP-8 associated with IL-1β,33383828,PubMed,MMP-8; IL-1β,"“biomarkers showing high levels in periodontal disease were salivary IL-1β, IL-4, IL-6, MMP-8”"
Increases inflammatory markers,41913520,PubMed,MMP-8; IL-1β,“Inflammatory markers were significantly reduced at 3 months”
Increases MMP-8 concentration,29472810,PubMed,MMP-8; IL-1β,“significantly higher concentrations of MMP-8 and IL-1β in GCF”
