Biological Relationship Name,PMID or Knowledge Base ID,Evidence Source,List of Elements,Quoted Evidence
Activation of immune cells,40136726,PubMed,IL-1B; IL-6; Porphyromonas gingivalis; Tannerella forsythia; Treponema denticola,"“The pathogenesis of PD involves the activation of immune cells and the release of pro-inflammatory cytokines (such as IL-1, IL-6...)”"
Induces chronic systemic inflammation,37513004,PubMed,Porphyromonas gingivalis; Treponema denticola,"“These pathogens elicit the release of cytokines, which in combination with their virulence factors induce chronic systemic inflammation”"
Promotes inflammation,40722812,PubMed,Porphyromonas gingivalis; Treponema denticola; Tannerella forsythia,"“These pathobionts contribute to respiratory diseases by facilitating pathogen adhesion, inducing epithelial cell apoptosis, and promoting inflammation.”"
Induces immune response,26221929,PubMed,Porphyromonas gingivalis; Treponema denticola; Tannerella forsythia,"“...trigger innate, inflammatory, and adaptive immune responses.”"
Associated with systemic inflammation,35282488,PubMed,Porphyromonas gingivalis; Treponema denticola; Tannerella forsythia,“...these specific pathogens can be easily translocated from oral cavity to the intestine... and lead to the creation of inflammatory mediators through which they may influence each other.”
Involved in the pathogenesis of periodontitis,24741603,PubMed,Porphyromonas gingivalis; Treponema denticola; Tannerella forsythia,“Porphyromonas gingivalis is a Gram-negative oral anaerobe that is involved in the pathogenesis of periodontitis”
Activates,41753333,PubMed,IL-1A; Porphyromonas gingivalis,“The IL-1A CC genotype significantly increased the odds of P. gingivalis”
Induces,41753333,PubMed,IL-1B; Tannerella forsythia,“The IL-1B CC genotype was independently associated with T. forsythia”
Induces,36312320,PubMed,IL-6; Th17,“OMVs of P. gingivalis and T. denticola induced the differentiation of Th17 cells”
Secretes,16153871,PubMed,IL-6; Porphyromonas gingivalis,"“P. gingivalis, T. denticola, and T. forsythia may induce high levels of pro-inflammatory mediators”"
Secretes,16153871,PubMed,IL-6; Treponema denticola,"“P. gingivalis, T. denticola, and T. forsythia may induce high levels of pro-inflammatory mediators”"
Secretes,16153871,PubMed,IL-6; Tannerella forsythia,"“P. gingivalis, T. denticola, and T. forsythia may induce high levels of pro-inflammatory mediators”"
Secretes,19162208,PubMed,IL-6; Porphyromonas gingivalis,“mixed infection with P. gingivalis and either T. forsythia or T. denticola acted synergistically to increase IL-6 production”
Secretes,19162208,PubMed,IL-6; Treponema denticola,“mixed infection with P. gingivalis and either T. forsythia or T. denticola acted synergistically to increase IL-6 production”
Secretes,19162208,PubMed,IL-6; Tannerella forsythia,“mixed infection with P. gingivalis and either T. forsythia or T. denticola acted synergistically to increase IL-6 production”
Activation of NF-κB pathway,40008712,PubMed,IL-1B; IL-6; Porphyromonas gingivalis,“Bmal1 knockout exacerbates periodontitis severity in mice by activating the NF-κB signaling pathway”
Association with oral neutrophils,40627761,PubMed,Porphyromonas gingivalis; Treponema denticola; Tannerella forsythia,“Significant positive associations were found between oPMN level and the detection of Pg”
Synergistic biofilm formation,23990979,PubMed,Porphyromonas gingivalis; Treponema denticola,“a strong synergy was observed between P. gingivalis and T. denticola in polymicrobial biofilm formation”
Increased expression of IL-1B,10599909,PubMed,IL-1B; Porphyromonas gingivalis,“carried the IL-1 haplotype”
Association with rheumatoid arthritis,31356381,PubMed,Porphyromonas gingivalis; Treponema denticola; Tannerella forsythia,“immune reactions following infection by periodontal bacteria might cross-react with RA autoantigens”
